23/12/2009,2,0,0,0,21,3,0,0,1,0,0,1,0,1,1,2,28,0,0,27
15/09/2016,0,0,0,0,26,0,1,0,8,0,0,0,0,0,0,2,14,1,0,38
07/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18/07/2013,16,1,1,1,25,11,0,3,15,0,0,1,0,1,3,8,5,2,1,168
26/09/2002,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,6,0,0,11
18/03/1993,3,2,0,0,5,2,0,2,5,0,0,0,0,0,1,6,5,1,0,68
18/01/1993,0,1,0,0,1,0,0,1,8,0,0,0,0,0,0,1,17,1,0,40
12/09/1989,13,3,0,0,5,5,0,1,14,1,0,0,0,1,1,12,5,1,0,120
15/07/2016,0,0,0,1,13,0,0,0,4,0,0,0,0,1,0,1,5,0,0,14
12/01/1999,6,1,0,0,11,0,0,0,10,0,0,0,0,0,0,4,14,1,2,19
07/01/2013,5,0,0,0,14,2,1,1,2,0,0,0,0,0,1,0,8,1,0,37
18/11/2013,2,0,0,0,8,0,1,0,2,0,0,0,0,1,0,3,5,1,2,32
18/09/2003,4,0,0,0,5,2,0,1,11,1,0,0,0,1,3,3,18,0,2,44
10/07/1992,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,0,0,21
12/04/2019,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,23
23/11/2009,1,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,12,1,0,11
26/01/2012,2,1,0,1,24,3,0,1,1,0,0,0,0,1,1,0,6,0,0,30
21/12/2002,3,0,0,0,6,1,1,3,9,0,0,0,0,1,2,4,31,0,0,33
26/03/2002,6,0,0,1,8,1,1,1,9,0,0,0,0,0,0,3,13,0,0,36
10/04/1992,33,0,0,0,9,2,0,0,32,0,0,0,0,1,2,10,7,0,10,89
10/01/2012,4,0,0,0,16,0,0,0,2,0,0,0,0,0,0,1,17,0,3,17
21/11/2002,4,1,0,0,12,1,0,0,7,0,1,0,0,1,0,2,6,0,0,39
07/02/2013,2,0,0,0,6,1,0,1,2,0,0,0,0,0,1,0,10,1,0,13
10/09/2002,11,0,0,3,9,2,0,0,14,0,0,0,0,1,0,4,7,1,4,95
07/10/2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21/12/1992,4,4,0,0,7,3,1,0,17,0,1,0,0,2,0,11,20,1,0,90
23/09/1999,18,3,0,0,8,3,0,1,38,1,0,0,0,0,1,7,14,1,2,102
07/11/2003,0,2,0,1,5,0,0,0,8,0,0,0,1,0,0,1,9,0,0,42
28/01/2019,3,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,15
04/04/2016,2,0,0,1,9,1,0,1,7,0,0,0,0,0,0,0,2,0,0,18
28/04/1999,8,0,0,0,6,0,0,1,8,0,1,1,0,0,0,1,2,0,1,17
07/11/2013,17,1,0,2,36,3,2,7,10,0,0,0,0,1,2,8,11,1,2,148
26/08/1992,45,0,0,0,11,11,1,2,72,0,0,0,1,2,3,22,26,1,41,207
28/05/1999,8,0,0,0,7,0,0,0,4,0,0,0,0,0,0,3,1,1,1,25
18/07/2003,0,0,1,0,5,0,1,2,2,0,0,0,0,1,3,1,1,0,0,25
10/04/2002,2,1,0,0,19,0,0,1,3,0,0,0,0,1,2,9,10,0,15,56
04/07/2006,7,1,0,0,6,0,1,2,14,2,0,0,0,1,2,4,11,1,1,60
12/03/2009,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12
26/11/1996,10,3,0,0,6,4,1,0,16,1,0,0,0,1,0,5,15,0,0,61
07/12/2013,3,1,0,0,18,1,0,3,3,1,1,0,0,0,1,0,29,1,0,30
23/09/2019,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,1,0,0,13
28/03/2019,9,0,0,0,19,4,1,0,13,0,0,0,1,0,1,2,38,2,0,71
12/01/2009,21,0,0,0,4,5,0,1,4,0,0,0,0,1,0,2,8,3,7,25
07/05/2003,11,0,0,0,9,0,0,0,16,1,0,1,0,1,2,2,12,3,2,35
23/07/2009,9,1,0,0,12,2,0,0,5,1,0,0,0,1,2,4,9,0,5,44
12/12/2019,9,0,0,0,31,0,0,0,15,1,0,1,0,0,1,1,31,1,1,80
23/10/2019,11,2,1,0,29,8,1,0,16,2,0,0,0,0,3,12,36,0,0,106
10/11/1992,10,1,0,1,2,0,0,0,6,0,0,0,0,0,0,2,1,1,0,26
15/11/1996,5,2,0,0,14,1,1,0,13,1,0,0,0,1,1,1,7,0,1,68
18/12/2003,0,0,0,0,7,0,0,0,2,0,0,0,0,0,2,3,12,0,0,17
18/06/2003,30,0,1,0,7,3,0,1,20,0,0,0,2,1,2,8,7,2,1,81
21/11/2012,7,0,0,1,17,0,1,0,2,0,0,0,0,0,1,1,8,2,5,27
18/11/2003,4,0,0,0,6,0,0,0,7,0,0,0,0,1,1,0,6,1,1,33
10/09/2012,3,0,0,1,25,0,0,0,1,0,0,0,0,0,1,1,19,0,0,22
15/01/2016,0,0,0,0,17,1,0,4,3,0,0,0,0,0,1,0,13,0,2,39
15/04/2016,6,1,0,4,23,2,0,4,5,1,2,0,0,1,1,1,14,3,2,128
18/01/2013,5,0,0,2,18,0,0,3,5,0,0,0,0,0,2,1,13,0,0,20
23/04/2019,12,0,0,0,17,9,0,0,8,0,1,0,0,0,0,8,5,1,0,68
18/06/2013,13,1,0,1,16,3,0,1,3,0,0,0,0,0,4,3,5,0,0,57
28/01/2009,4,0,0,1,20,3,0,1,4,1,1,0,0,0,2,7,11,0,6,32
23/01/2019,30,1,1,3,53,27,1,5,48,2,0,1,0,3,3,15,3,8,0,307
07/12/1993,2,0,0,0,5,0,0,1,3,0,0,0,0,1,0,0,4,0,0,11
07/05/1993,2,0,0,1,2,3,0,0,7,0,0,0,0,1,0,5,13,0,0,68
04/08/2016,14,3,0,1,31,8,0,162,16,1,0,0,0,0,1,8,12,2,75,84
26/07/2012,4,0,0,0,16,0,0,2,0,0,0,0,0,0,1,1,11,0,0,17
28/02/2019,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
